Country Code,Country Name,Region,Domain,Slope,Intercept,R2,SE_Pred_2030,Backtest_RMSE
GTM,Guatemala,Central America & Caribbean,Digital Infrastructure,0.015426,-30.878542,0.8457,0.027749,0.0978
GTM,Guatemala,Central America & Caribbean,Economic Fragility,0.00033,0.035608,0.0196,0.009834,0.0635
GTM,Guatemala,Central America & Caribbean,Food Security,0.000654,-0.705272,0.0335,0.014794,0.0731
GTM,Guatemala,Central America & Caribbean,Healthcare,-0.005968,12.217185,0.4938,0.025448,0.0653
GTM,Guatemala,Central America & Caribbean,Political Stability,0.004743,-9.06329,0.7286,0.012191,0.066
HRV,Croatia,Europe,Climate & Energy,0.002058,-3.45766,0.3336,0.012251,0.092
HRV,Croatia,Europe,Digital Infrastructure,0.029931,-59.752452,0.9423,0.031176,0.0978
HRV,Croatia,Europe,Economic Fragility,4.2e-05,0.631707,0.0001,0.021952,0.0635
HRV,Croatia,Europe,Food Security,-0.001964,4.744184,0.1387,0.020615,0.0731
HRV,Croatia,Europe,Healthcare,0.002206,-4.069415,0.5723,0.008031,0.0653
HRV,Croatia,Europe,Political Stability,0.001809,-2.890122,0.3537,0.010299,0.066
HUN,Hungary,Europe,Climate & Energy,0.002859,-5.097844,0.3448,0.016593,0.092
HUN,Hungary,Europe,Digital Infrastructure,0.034693,-69.26924,0.9369,0.037917,0.0978
HUN,Hungary,Europe,Economic Fragility,0.000286,0.131901,0.0057,0.01598,0.0635
HUN,Hungary,Europe,Food Security,-0.002293,5.525428,0.7898,0.004983,0.0731
HUN,Hungary,Europe,Healthcare,-0.003186,6.819105,0.4693,0.014267,0.0653
HUN,Hungary,Europe,Political Stability,-0.00314,7.112203,0.3608,0.017602,0.066
IDN,Indonesia,East Asia,Climate & Energy,0.009139,-17.812864,0.8807,0.014165,0.092
IDN,Indonesia,East Asia,Digital Infrastructure,0.016751,-33.559902,0.8546,0.029097,0.0978
IDN,Indonesia,East Asia,Economic Fragility,0.001296,-1.920021,0.2752,0.008857,0.0635
IDN,Indonesia,East Asia,Food Security,0.005851,-11.043601,0.6704,0.017277,0.0731
IDN,Indonesia,East Asia,Healthcare,0.00258,-5.128215,0.8426,0.004696,0.0653
IDN,Indonesia,East Asia,Political Stability,0.015757,-31.284134,0.8024,0.032933,0.066
IND,India,South Asia,Climate & Energy,0.008672,-16.905244,0.8644,0.014462,0.092
IND,India,South Asia,Digital Infrastructure,0.007711,-15.43197,0.5473,0.029537,0.0978
IND,India,South Asia,Economic Fragility,-7.9e-05,0.835074,0.0005,0.015284,0.0635
IND,India,South Asia,Food Security,0.002708,-4.648816,0.2303,0.020847,0.0731
IND,India,South Asia,Healthcare,-0.002579,5.314562,0.8535,0.004501,0.0653
IND,India,South Asia,Political Stability,0.005223,-10.114179,0.5062,0.021723,0.066
IRL,Ireland,Europe,Climate & Energy,0.002174,-3.715261,0.198,0.018425,0.092
IRL,Ireland,Europe,Digital Infrastructure,0.030396,-60.587959,0.9103,0.040192,0.0978
IRL,Ireland,Europe,Economic Fragility,-0.000935,2.575069,0.0174,0.029606,0.0635
IRL,Ireland,Europe,Food Security,-0.001027,2.891503,0.0579,0.017444,0.0731
IRL,Ireland,Europe,Healthcare,-0.003293,6.968856,0.3199,0.020219,0.0653
IRL,Ireland,Europe,Political Stability,-0.005988,12.900313,0.7643,0.014002,0.066
ISL,Iceland,Europe,Climate & Energy,-0.004239,9.174395,0.8104,0.008633,0.092
ISL,Iceland,Europe,Digital Infrastructure,0.022044,-43.5795,0.6813,0.063497,0.0978
ISL,Iceland,Europe,Economic Fragility,0.000288,0.12529,0.004,0.019181,0.0635
ISL,Iceland,Europe,Food Security,4e-05,0.731633,0.0001,0.022911,0.0731
ISL,Iceland,Europe,Healthcare,-0.000462,1.317411,0.0055,0.026141,0.0653
ISL,Iceland,Europe,Political Stability,-0.002055,5.049263,0.1879,0.017996,0.066
ITA,Italy,Europe,Climate & Energy,0.002725,-4.824399,0.3291,0.016385,0.092
ITA,Italy,Europe,Digital Infrastructure,0.026874,-53.586299,0.9677,0.020665,0.0978
ITA,Italy,Europe,Economic Fragility,-8.6e-05,0.904762,0.0005,0.016813,0.0635
ITA,Italy,Europe,Food Security,-0.00019,1.204426,0.0021,0.017502,0.0731
ITA,Italy,Europe,Healthcare,-0.001013,2.415019,0.029,0.024666,0.0653
ITA,Italy,Europe,Political Stability,-0.00253,5.81549,0.235,0.019225,0.066
JAM,Jamaica,Central America & Caribbean,Climate & Energy,0.004798,-9.052775,0.687,0.013639,0.092
JAM,Jamaica,Central America & Caribbean,Digital Infrastructure,0.025775,-51.583838,0.9549,0.023597,0.0978
JAM,Jamaica,Central America & Caribbean,Economic Fragility,0.000438,-0.171087,0.0156,0.014646,0.0635
